Function field,Finite field,Genus,Method,Class number,Time,Timeout
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 1, 1], [1, 1], [1, 1], [1]]))",2,1,Linear algebra,2,0.100,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 1], [], [1, 1], [1]]))",2,1,Linear algebra,1,0.120,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 1, 1], [1, 1], [1, 1], [1]]))",2,1,Magma,2,0.040,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 0, 1], [1, 1], [0, 1]]))",2,1,Linear algebra,4,0.110,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 1], [1], [1], [1]]))",2,1,Linear algebra,3,0.140,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 1], [0, 1, 1], [0, 1]]))",2,1,Linear algebra,2,0.150,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 1], [], [1, 1], [1]]))",2,1,Magma,1,0.040,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 0, 1], [1, 1], [0, 1]]))",2,1,Magma,4,0.040,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 1], [0, 1, 1], [0, 1]]))",2,1,Magma,2,0.040,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 0, 1], [1], [1], [1]]))",2,1,Magma,3,0.050,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 0, 0, 1], [0, 1, 1, 1], [1, 0, 0, 1], [1], [1, 1]]))",2,4,Linear algebra,17,0.120,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 0, 1, 1], [0, 1, 0, 1, 1], [1, 0, 1], [0, 1, 1], [1, 1]]))",2,4,Linear algebra,16,0.120,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 1, 1, 1, 1], [1, 0, 0, 0, 1], [0, 0, 0, 1], [0, 1, 1], [0, 1]]))",2,4,Linear algebra,16,0.160,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 1, 1, 1], [1, 0, 1, 1], [0, 1, 0, 1], [0, 1], [1, 1]]))",2,4,Linear algebra,29,0.190,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 0, 0, 1], [0, 1, 1, 1], [1, 0, 0, 1], [1], [1, 1]]))",2,4,Magma,17,0.100,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1, 1, 1, 1], [0, 1, 0, 0, 1], [1, 1, 1, 1], [1], [1]]))",2,4,Linear algebra,57,0.190,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 1, 1, 1, 1], [1, 0, 0, 0, 1], [0, 0, 0, 1], [0, 1, 1], [0, 1]]))",2,4,Magma,16,0.090,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 1, 0, 0, 1, 1], [0, 1, 0, 1, 1], [1, 0, 1], [0, 1, 1], [1, 1]]))",2,4,Magma,16,0.100,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 1, 1, 1, 1], [0, 1, 0, 0, 1], [1, 1, 1, 1], [1], [1]]))",2,4,Magma,57,0.110,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 1, 1, 1], [1, 0, 1, 1], [0, 1, 0, 1], [0, 1], [1, 1]]))",2,4,Magma,29,0.150,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 0, 1, 1, 1, 0, 1], [1, 1, 1, 0, 1, 1, 1], [0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 1], [0, 1, 1, 1], [0, 0, 1], [1, 1]]))",2,7,Linear algebra,342,0.410,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 0, 1, 0, 1, 1], [1, 1, 0, 1, 0, 1, 1], [0, 1, 0, 1, 1, 1], [1, 1], [0, 1, 0, 1], [0, 1, 1]]))",2,7,Linear algebra,400,0.380,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 1, 1, 0, 1, 1], [1, 0, 0, 0, 0, 1], [1, 0, 1, 1, 1], [0, 0, 0, 1], [0, 0, 1, 1], [0, 1, 1], [0, 1], [1]]))",2,7,Linear algebra,134,0.570,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 1, 1, 0, 1, 1, 1, 1], [0, 1, 0, 1, 1], [0, 1, 1], [0, 1, 1, 1, 1], [], [0, 0, 1], [1]]))",2,7,Linear algebra,133,0.730,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [0, 0, 0, 1, 1, 1, 0, 1], [1, 1, 1, 0, 1, 1, 1], [0, 1, 0, 1, 1, 1], [1, 0, 0, 1, 1], [0, 1, 1, 1], [0, 0, 1], [1, 1]]))",2,7,Magma,342,0.470,false
"FunctionField(Polynomial([PolynomialRing(GF(2)) | [1, 0, 0, 0, 1, 0, 1, 1], [1, 1, 0, 1, 0, 1, 1], [0, 1, 0, 1, 1, 1], [1, 1], [0, 1, 0, 1], [0, 1, 1]]))",2,7,Magma,400,0.580,false
