Level,Finite field,Genus,Method,Class number,Time,Timeout
"11",17,1,Linear algebra,20,0.100,false
"11",3,1,Linear algebra,5,0.120,false
"11",3,1,Magma,5,0.040,false
"11",31,1,Linear algebra,25,0.150,false
"11",97,1,Linear algebra,105,0.160,false
"11",7,1,Linear algebra,10,0.150,false
"11",17,1,Magma,20,0.090,false
"11",59,1,Linear algebra,55,0.190,false
"11",2,0,Linear algebra,1,0.110,false
"11",7,1,Magma,10,0.060,false
"11",31,1,Magma,25,0.110,false
"11",2,0,Magma,1,0.040,false
"14",3,1,Linear algebra,6,0.120,false
"14",31,1,Linear algebra,36,0.140,false
"14",3,1,Magma,6,0.040,false
"11",59,1,Magma,55,0.200,false
"14",31,1,Magma,36,0.100,false
"14",17,1,Linear algebra,12,0.220,false
"14",17,1,Magma,12,0.060,false
"11",97,1,Magma,105,0.410,false
"14",59,1,Linear algebra,66,0.090,false
"15",2,1,Linear algebra,4,0.110,false
"14",97,1,Linear algebra,108,0.230,false
"15",2,1,Magma,4,0.050,false
"15",7,1,Linear algebra,8,0.170,false
"15",17,1,Linear algebra,16,0.200,false
"14",59,1,Magma,66,0.250,false
"15",31,1,Linear algebra,32,0.140,false
"15",7,1,Magma,8,0.070,false
"17",3,1,Linear algebra,4,0.100,false
"17",2,0,Linear algebra,1,0.070,false
"15",59,1,Linear algebra,64,0.140,false
"17",3,1,Magma,4,0.040,false
"15",17,1,Magma,16,0.070,false
"17",2,0,Magma,1,0.040,false
"15",31,1,Magma,32,0.100,false
"15",97,1,Linear algebra,96,0.200,false
"15",59,1,Magma,64,0.220,false
"14",97,1,Magma,108,0.420,false
"17",31,1,Linear algebra,28,0.090,false
"17",7,1,Linear algebra,4,0.180,false
"17",59,1,Linear algebra,72,0.090,false
"17",7,1,Magma,4,0.040,false
"19",7,1,Linear algebra,9,0.090,false
"15",97,1,Magma,96,0.380,false
"19",3,1,Linear algebra,6,0.120,false
"17",31,1,Magma,28,0.130,false
"19",2,0,Linear algebra,1,0.110,false
"19",3,1,Magma,6,0.040,false
"19",7,1,Magma,9,0.050,false
"19",2,0,Magma,1,0.050,false
"17",97,1,Linear algebra,96,0.250,false
"17",59,1,Magma,72,0.240,false
"19",17,1,Linear algebra,21,0.110,false
"19",17,1,Magma,21,0.080,false
"19",31,1,Linear algebra,36,0.140,false
"19",31,1,Magma,36,0.100,false
"19",59,1,Linear algebra,66,0.140,false
"17",97,1,Magma,96,0.420,false
"19",97,1,Linear algebra,90,0.200,false
"19",59,1,Magma,66,0.190,false
"20",17,1,Linear algebra,24,0.080,false
"20",3,1,Linear algebra,6,0.100,false
"20",3,1,Magma,6,0.040,false
"20",17,1,Magma,24,0.090,false
"20",7,1,Linear algebra,6,0.200,false
"20",31,1,Linear algebra,36,0.230,false
"20",7,1,Magma,6,0.040,false
"20",59,1,Linear algebra,48,0.130,false
